seg_key,seg_id,freq,assigned_label,post_commodity,post_title,post_proper_name,stability
"99,267,238",seg_00068,3,proper_name,0.0,0.0,1.0,1.0
"135,123,150",seg_00069,2,proper_name,0.0,0.0,1.0,1.0
"149,123,216",seg_00070,2,proper_name,0.0,0.0,1.0,1.0
"15,102",seg_00071,2,proper_name,0.0,0.0,1.0,1.0
"15,389,178",seg_00072,2,proper_name,0.0,0.0,1.0,1.0
"162,18",seg_00073,2,proper_name,0.0,0.0,1.0,0.975609756097561
"162,249,155,87",seg_00074,2,proper_name,0.0,0.0,1.0,1.0
"162,249,72",seg_00075,2,proper_name,0.0,0.0,1.0,1.0
"162,28,244,87",seg_00076,2,proper_name,0.0,0.0,1.0,1.0
"169,104,97",seg_00077,2,proper_name,0.0,0.0,1.0,1.0
"169,249,65",seg_00078,2,proper_name,0.0,0.0,1.0,1.0
"169,28",seg_00079,2,proper_name,0.0,0.0,1.0,1.0
"169,87",seg_00080,2,proper_name,0.0,0.0,1.0,1.0
"171,389",seg_00081,2,proper_name,0.0,0.0,1.0,1.0
"173,97",seg_00082,2,proper_name,0.0,0.0,1.0,1.0
"174,98",seg_00083,2,proper_name,0.0,0.0,1.0,1.0
"176,25,124",seg_00084,2,proper_name,0.0,0.0,1.0,1.0
"176,342",seg_00085,2,proper_name,0.0,0.0,1.0,1.0
"186,261",seg_00086,2,proper_name,0.0,0.0,1.0,1.0
"211,293,293,17",seg_00087,2,proper_name,0.0,0.0,1.0,1.0
"211,67,343",seg_00088,2,proper_name,0.0,0.0,1.0,1.0
"211,89,336,65",seg_00089,2,proper_name,0.0,0.0,1.0,1.0
"228,123,150",seg_00090,2,proper_name,0.0,0.0,1.0,1.0
"242,342",seg_00091,2,proper_name,0.0,0.0,1.0,0.975609756097561
"249,197",seg_00092,2,proper_name,0.0,0.0,1.0,1.0
"25,124",seg_00093,2,proper_name,0.0,0.0,1.0,1.0
"287,373,72,53",seg_00094,2,proper_name,0.0,0.0,1.0,1.0
336,seg_00095,2,proper_name,0.0,0.0,1.0,1.0
344,seg_00096,2,proper_name,0.0,0.0,1.0,1.0
"344,123,293",seg_00097,2,proper_name,0.0,0.0,1.0,1.0
"347,127",seg_00098,2,proper_name,0.0,0.0,1.0,1.0
"347,336",seg_00099,2,proper_name,0.0,0.0,1.0,1.0
"347,98",seg_00100,2,proper_name,0.0,0.0,1.0,1.0
"348,67",seg_00101,2,proper_name,0.0,0.0,1.0,1.0
389,seg_00102,2,proper_name,0.0,0.0,1.0,1.0
"51,336",seg_00103,2,proper_name,0.0,0.0,1.0,1.0
"53,65",seg_00104,2,proper_name,0.0,0.0,1.0,1.0
"59,102",seg_00105,2,proper_name,0.0,0.0,1.0,1.0
"59,87,389",seg_00106,2,proper_name,0.0,0.0,1.0,1.0
"60,87",seg_00107,2,proper_name,0.0,0.0,1.0,1.0
"67,343",seg_00108,2,proper_name,0.0,0.0,1.0,1.0
"67,387",seg_00109,2,proper_name,0.0,0.0,1.0,0.975609756097561
"67,65,389",seg_00110,2,proper_name,0.0,0.0,1.0,1.0
"70,389",seg_00111,2,proper_name,0.0,0.0,1.0,1.0
"72,65",seg_00112,2,proper_name,0.0,0.0,1.0,1.0
"8,17,102",seg_00113,2,proper_name,0.0,0.0,1.0,1.0
"8,59",seg_00114,2,proper_name,0.0,0.0,1.0,1.0
